,comment_text,toxic,severe_toxic,obscene,threat,insult,identity_hate
0,ছবি টা দেখার পর বাড়া টা কেপে ওটলো😭😭😭,1.0,1.0,1.0,0.0,0.0,0.0
1,পুতুলের মতো,0.0,0.0,0.0,0.0,0.0,0.0
2,nicher ta dekha jacche Apu 😅😅😅😅😅,1.0,1.0,1.0,0.0,0.0,0.0
3,ছাগলের দল ফুল ভিডিও দেখ,1.0,0.0,0.0,0.0,0.0,0.0
4,পুরাই আগুন 🥰🥰🥰😌,1.0,0.0,0.0,0.0,0.0,0.0
5,tu asolei sauwar beta😤,1.0,1.0,1.0,0.0,0.0,0.0
6,A kemon pank vidio ?? Vidio deikha nake pani eshe porce.... ??????...,1.0,0.0,0.0,0.0,0.0,0.0
7,উতলা যৌবন,0.0,0.0,0.0,0.0,0.0,0.0
8,কিছু দেখি না😳😳,0.0,0.0,0.0,0.0,1.0,0.0
9,Ai games khalar jonno mar hate onek mar kaise,0.0,0.0,0.0,0.0,0.0,0.0
10,যারা নিহত হয়েছেন তাদের আত্মার শান্তি কামনা করি যারা আহত হয়েছেন তাদের সুস্থতা কামনা করি,0.0,0.0,0.0,0.0,0.0,0.0
11,কাজ কয়বার হইছে নি,0.0,0.0,0.0,0.0,0.0,0.0
12,ডাব গুলো অনেক বড়🥰🥰🥰,0.0,0.0,1.0,0.0,0.0,0.0
13,nijek akta gondarer moton lagtaca,1.0,0.0,0.0,0.0,1.0,1.0
14,prothom dekhatei jar crashe hoya jay😍😍😍😍🥰🥰😍😍😍😍😍,0.0,0.0,0.0,0.0,0.0,0.0
15,"গুজবে কান দিবেন না, পুকুর ছিলো না।",1.0,0.0,0.0,0.0,0.0,0.0
16,"ওয়াও,  এগিয়ে যাচ্ছে দেশ। নেশায় এখন বাংলাদেশ স্বয়ংসম্পূর্ণ।",1.0,0.0,0.0,0.0,0.0,0.0
17,School life e fira gelam....??,0.0,0.0,0.0,0.0,0.0,0.0
18,কারে সীল মারবো আজকে😂😂,1.0,0.0,0.0,0.0,0.0,0.0
19,"এই কিডারে। আমি কী দেখলাম,",0.0,0.0,0.0,0.0,0.0,0.0
